citation_key,authors,year,title,journal,country_or_city,study_period,population,sample_size_or_event_count,outcome,diagnosis_definition,temporal_resolution,temperature_source,temperature_metric,heat_definition,cold_definition,humidity_metric,pollutants,lag_structure,statistical_model,seasonality_control,long_term_trend_control,population_offset,age_analysis,sex_analysis,main_result,effect_measure,limitations,relevance_to_current_project,directly_overlapping,doi,pmid,source_verified,claim_class,notes
politis1994bootstrap,Politis DN; Romano JP,1994,The stationary bootstrap,Journal of the American Statistical Association,Methods,NA,NA,NA,Bootstrap methods,NA,Dependent data,NA,NA,NA,NA,NA,NA,Block/stationary bootstrap,Stationary bootstrap,NA,NA,NA,NA,NA,Bootstrap preserving dependence,Methods,NA,Specification-curve max-statistic null,FALSE,10.1080/01621459.1994.10476870,NA,Crossref 2026-08-10,methods_inference,
simonsohn2020speccurve,Simonsohn U; Simmons JP; Nelson LD,2020,Specification curve analysis,Nature Human Behaviour,Methods,NA,NA,NA,Multiverse reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,Specification curve,NA,NA,NA,NA,NA,Report distribution over predeclared specs,Methods,Not a discovery engine,Frozen specification-curve reporting,FALSE,10.1038/s41562-020-0912-z,NA,Crossref 2026-08-10,methods_reporting,
tashman2000rolling,Tashman LJ,2000,Out-of-sample tests of forecasting accuracy: an analysis and review,International Journal of Forecasting,Methods,NA,NA,NA,Forecast evaluation,NA,Rolling origin,NA,NA,NA,NA,NA,NA,NA,Rolling-origin evaluation,NA,NA,NA,NA,NA,Rolling-origin out-of-sample testing framework,Methods,Prediction != causation,Rolling-origin predictive protocol,FALSE,10.1016/S0169-2070(00)00065-0,NA,Crossref 2026-08-10,methods_prediction,
greenland1989ecological,Greenland S; Morgenstern H,1989,Ecological bias confounding and effect modification,International Journal of Epidemiology,Methods,NA,Aggregate data,NA,Ecological inference limits,NA,Aggregate,NA,NA,NA,NA,NA,NA,NA,Ecological analysis critique,NA,NA,NA,NA,NA,Ecological bias can distort associations,Methods/limits,Classic warning paper,Limitations for monthly aggregates,FALSE,10.1093/ije/18.1.269,NA,Crossref 2026-08-10,methods_limits,
goggins2012stroke,Goggins WB; Woo J; Ho S; Chan EYY; Chau PH,2012,Weather season and daily stroke admissions in Hong Kong,Int J Biometeorol,Hong Kong,1999-2006,Public hospital stroke admissions age 35+,23457 HS; 107505 IS,HS and IS admissions,ICD stroke subtypes,Daily,HKO,Mean temperature,Heat not primary finding,IS below ~22C; HS linear inverse,Humidity included,Tested NS,HS 0-4; IS 0-13 below threshold,Poisson GAM,Yes,Yes,NA,Stronger older for HS,Stronger females for HS,HS +2.7%/C lower; IS +1.6%/C lower below 22C,Percent change per 1C,Daily; earlier period,Historical daily stroke morbidity baseline,FALSE,10.1007/s00484-011-0491-9,21915799,Crossref/PubMed 2026-08-10,daily_morbidity_admissions,DOI now verified (was previously NA in matrix)
goggins2013,Goggins WB; Chan EYY; Yang CY,2013,Weather pollution and acute myocardial infarction in Hong Kong and Taiwan,Int J Cardiol,Hong Kong (+ Taipei Kaohsiung),2000-2009,AMI hospitalizations,NA,AMI admissions,ICD AMI,Daily,HKO/local,Mean temperature with humidity,No significant heat effect reported,Cooling below ~24C,Humidity controlled,NO2 and others,Average lag 0-13 (HK),Poisson GAM,Yes,Yes,NA,NA,NA,1C drop below ~24C ~3.7% higher HK AMI; NO2 strongest pollutant,Percent change per 1C / pollutant unit,Daily; earlier decade; AMI out of scope without admission reasons,Historical AMI/pollution framing,FALSE,10.1016/j.ijcard.2012.09.087,23041014,Crossref/PubMed 2026-08-10,daily_morbidity_admissions,
chan2013bullwho,Chan EYY; Goggins WB; Yue JSK; Lee P,2013,Hospital admissions as a function of temperature other weather phenomena and pollution levels in an urban setting in China,Bull World Health Organ,Hong Kong,1998-2009,Hospital admissions,NA,All-cause and cause-specific admissions,Administrative,Daily,HKO,Mean temperature thresholds,Heat above ~29C,Cold in 8.2-26.9C range,NA,Pollution,Time-series,Time-series,Yes,Yes,NA,NA,NA,Admissions +4.5% per 1C above 29C; cold also raises admissions,Percent change per 1C,Earlier decade,Supports continuous T pathways,FALSE,10.2471/BLT.12.113035,NA,Crossref 2026-08-10,daily_morbidity_admissions,
guo2017ehp,Guo Y; Gasparrini A; Armstrong BG; et al.,2017,Heat Wave and Mortality Multicountry Multicommunity Study,Environ Health Perspect,Multicountry,NA,Mortality,NA,Mortality,Death,Daily,Local,Percentile x duration grid,Relative percentiles 90/92.5/95/97.5 x 2/3/4 d,NA,NA,NA,As published,Time-series / DLNM family,Yes,Yes,NA,NA,NA,Heatwave definition choice changes mortality estimates,RR,Mortality multicountry,Motivates multi-definition heatwave-month panel,FALSE,10.1289/EHP1026,NA,Crossref 2026-08-10,daily_mortality_AF,Article number 087006
guo2024hotnights,Guo YT; Chan KH; Qiu H; Wong ELY; Ho KF,2024,Hospitalization risk associated with hot nights and excess nighttime heat Hong Kong 2000-2019,Lancet Reg Health West Pac,Hong Kong,2000-2019 hot seasons May-Oct,Hospitalizations,NA,Hospitalization including circulatory,Administrative,Daily,HKO,Hot-night metrics HNday28 and hot-night excess,Official hot night Tmin>=28 and intensity,NA,NA,Air pollution controlled,DLNM,DLNM,Yes,Yes,NA,Elderly stronger,NA,Hot-night excess associated; official binary alone often null,ERR per intensity unit,Daily hot-season; broad hospitalization,Official HN vs intensity,TRUE,10.1016/j.lanwpc.2024.101168,NA,Crossref 2026-08-10,daily_morbidity_admissions,
guo2025temppollution,Guo YT; Li Y; Ho KF; Chan KH,2025,Aggravated risks of emergency hospitalizations associated with temperature amid elevated ambient air pollution,Environ Sci Technol,Hong Kong,2000-2019,Emergency hospitalizations,~10M NCNE admissions,Emergency hospitalizations,Administrative,Daily,HKO,Temperature with pollutant modification,High temperature,Low temperature,NA,PM2.5 NO2 O3,Product-term modification,Time-series,Yes,Yes,NA,NA,NA,PM2.5 amplified temperature-hospitalization associations,Percent higher risks on polluted days,Daily emergency not monthly first-event,Staged pollution modeling,TRUE,10.1021/acs.est.5c10594,NA,Crossref 2026-08-10,daily_morbidity_admissions,Volume 59 pages 27107-27117
yang2025coldflu,Yang Z; Wei Y; Jiang X; Li C; Lin G; Wang Y; Chong KC,2025,Association of cold weather and influenza infection with stroke,Int J Biometeorol,Hong Kong,1998-2019,Stroke admissions,~1.17M stroke-related admissions,Stroke admissions,Administrative stroke,Weekly,HKO,Temperature,NA,Cold e.g. 5th percentile,NA,Air pollutants,DLNM + GAM,Quasi-Poisson,Yes,Yes,NA,NA,NA,Cold and influenza activity associated with higher stroke admissions,Cumulative ARR,Weekly; pooled stroke,Cold + flu sensitivity,TRUE,10.1007/s00484-025-02870-2,NA,Crossref 2026-08-10,weekly_morbidity_admissions,Canonical key; replaces wang2025coldflu naming
gasparrini2015,Gasparrini A; Guo Y; Hashizume M; et al.,2015,Mortality risk attributable to high and low ambient temperature multicountry,The Lancet,Multicountry,NA,Mortality,NA,Mortality,Death,Daily,Local,Temperature DLNM,Above MMT,Below MMT,NA,NA,DLNM,DLNM,Yes,Yes,NA,NA,NA,Most AF from moderate non-optimum T; cold > heat globally,Attributable fraction,Mortality multicountry,Framing companion to Jasmine AFs,FALSE,10.1016/S0140-6736(14)62114-0,NA,Crossref 2026-08-10,daily_mortality_AF,
lam2018amiDiabetes,Lam HCY; Chan JCN; Luk AOY; Chan EYY; Goggins WB,2018,Short-term association ambient temperature and AMI hospitalizations for DM patients,PLoS Med,Hong Kong,2002-2011,AMI admissions stratified by DM,53769 AMI,AMI admissions,ICD-9 410,Daily,HKO,Mean temperature DLNM,Hot-season sensitivity in DM,Cold-season linear/negative,Other meteorology,Air pollutants,DLNM cumulative lags,DLNM,Yes,Yes,NA,Age stratified,Sex stratified,Stronger cold associations in DM,cumRR,Daily; comorbidity may be unavailable,Effect-modification precedent,FALSE,10.1371/journal.pmed.1002612,30016318,Crossref/PubMed 2026-08-10,daily_morbidity_admissions,
cho2024korea,Cho M; Lee HH; Baek JH; et al.,2024,Identification of AMI and stroke events using NHIS database in Korea,Epidemiology and Health,Korea,NA,Claims,NA,AMI and stroke identification,Administrative algorithms,NA,NA,NA,NA,NA,NA,NA,NA,Validation,NA,NA,NA,NA,NA,Validation of administrative algorithms,PPV etc.,Not HK thermal study,Coding-validity support only,FALSE,10.4178/epih.e2024001,NA,Crossref 2026-08-10,coding_validity,Replaces incomplete cho2024 stub
liu2025tianjin,Liu Jiamei; Zhang Z; Liu Y; et al.,2025,Identifying MI and ischemic stroke events in China real-world data Tianjin,Pharmacoepidemiology,China (Tianjin),NA,Regional healthcare DB,NA,MI and ischemic stroke identification,Real-world / claims validation,NA,NA,NA,NA,NA,NA,NA,NA,Validation,NA,NA,NA,NA,NA,Validation performance for MI/IS,PPV etc.,Not HK thermal study,Coding-validity support only,FALSE,10.3390/pharma4040028,NA,Crossref/MDPI 2026-08-10,coding_validity,Replaces incomplete liu2025 stub
sipila2017,Sipila JOT; Ruuskanen JO; Kauko T; Rautava P; Kyto V,2017,Seasonality of stroke in Finland,Ann Med,Finland,2004-2014,Acute stroke admissions >=18,IS 97018; ICH 17254; SAH 11271,Stroke subtype admissions,Registry discharge codes,Seasonal/monthly,NA,Season not daily temperature,NA,NA,NA,NA,NA,Seasonal comparison,Season is exposure,NA,NA,NA,Sex difference for IS seasonality,Subtypes most frequent in autumn least in summer,Seasonal rates,Temperate climate,Subtype seasonality literature,FALSE,10.1080/07853890.2016.1254350,NA,Crossref 2026-08-10,seasonality_support,
lorking2020,Lorking N; Wood AD; Tiamkao S; et al.,2020,Seasonality of stroke winter admissions and mortality excess Thailand,Clin Neurol Neurosurg,Thailand,2003-2012 approx,Hospitalised stroke,~569307,Stroke admissions and in-hospital mortality,National stroke database,Seasonal,Tropical climate season,Winter vs non-winter,NA,Winter excess,NA,NA,NA,Logistic for winter mortality,Season,Year adjusted,NA,Age/sex adjusted,NA,Winter excess in admissions mortality and complications,Winter excess index; OR,Seasonality not thermal extremes,Winter excess in warm climates,FALSE,10.1016/j.clineuro.2020.106262,NA,Crossref 2026-08-10,seasonality_support,
